Kalenderwoche;Datum;Wochentag;Anfang;Ende;Std.;Min.;UB/Archiv;Tage;Besuchsstunden;Anzahl Besucher;Zeit/Besuch;Ende Gelände;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;2022-01-25;Dienstag;10:45;12:00;1;15;UB ;;v;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;2022-01-26;Mittwoch;9:02;12:00;2;58;UB ;1;v;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;2022-01-26;Mittwoch;9:45;9:46;0;1;UB ;;v;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;2022-01-26;Mittwoch;10:08;10:35;0;27;UB ;;v;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;2022-01-27;Donnerstag;13:50;14:00;0;10;UB ;1;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;2022-01-27;Donnerstag;14:01;14:10;0;9;UB ;;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;2022-01-27;Donnerstag;15:35;15:58;0;23;UB ;;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;2022-01-28;Freitag;9:05;9:35;0;30;Archiv;1;v;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;2022-01-28;Freitag;9:55;10:00;0;5;UB ;;v;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;2022-01-28;Freitag;9:55;12:00;2;5;UB ;;v;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;2022-01-28;Freitag;11:15;11:55;0;40;UB ;;v;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;2022-01-28;Freitag;13:00;15:34;2;34;UB ;;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;2022-01-31;Montag;10:40;10:59;0;19;UB ;1;v;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;2022-01-31;Montag;10:58;11:20;0;22;UB ;;v;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;2022-02-01;Dienstag;13:00;15:35;2;35;UB ;1;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;2022-02-02;Mittwoch;10:00;12:00;2;0;Archiv;1;v;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;2022-02-02;Mittwoch;10:40;12:00;1;20;UB ;;v;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;2022-02-02;Mittwoch;13:01;15:15;2;14;UB;;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;2022-02-02;Mittwoch;13:18;16:00;2;42;Archiv;;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;2022-02-03;Donnerstag;10:18;10:19;0;1;UB ;1;v;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;2022-02-03;Donnerstag;10:54;11:12;0;18;UB ;;v;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;2022-02-03;Donnerstag;14:59;15:00;0;1;UB ;;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;2022-02-04;Freitag;9:05;9:45;0;40;UB ;1;v;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;2022-02-04;Freitag;11:30;11:55;0;25;UB ;;v;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;2022-02-04;Freitag;13:00;15:20;2;20;UB ;;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;2022-02-07;Montag;10:25;11:50;1;25;UB ;1;v;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;2022-02-07;Montag;15:15;15:40;0;25;UB ;;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;2022-02-08;Dienstag;9:20;12:00;2;40;UB ;1;v;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;2022-02-08;Dienstag;9:30;10:10;0;40;UB ;;v;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;2022-02-08;Dienstag;9:45;11:45;2;0;Archiv;;v;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;2022-02-08;Dienstag;10:02;10:45;0;43;UB ;;v;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;2022-02-08;Dienstag;13:14;14:15;1;1;UB ;;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;2022-02-08;Dienstag;14:55;15:10;0;15;UB ;;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;2022-02-08;Dienstag;15:59;16:00;0;1;UB ;;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
